dataset,backbone,configuration,test_accuracy_percent
pubfig,resnet18,raw,95.78
pubfig,resnet18,defense_a,89.80
pubfig,resnet18,defense_b,86.10
pubfig,resnet18,defense_c,79.20
pubfig,resnet18,defense_d,75.20
pubfig,resnet34,raw,95.53
pubfig,resnet34,defense_a,91.10
pubfig,resnet34,defense_b,88.80
pubfig,resnet34,defense_c,83.60
pubfig,resnet34,defense_d,71.20
lfw,resnet18,raw,99.00
lfw,resnet18,defense_a,86.14
lfw,resnet18,defense_b,83.50
lfw,resnet18,defense_c,70.63
lfw,resnet18,defense_d,67.00
lfw,resnet34,raw,97.36
lfw,resnet34,defense_a,86.80
lfw,resnet34,defense_b,85.15
lfw,resnet34,defense_c,75.58
lfw,resnet34,defense_d,59.08
pins,resnet18,raw,87.70
pins,resnet18,defense_a,80.55
pins,resnet18,defense_b,80.00
pins,resnet18,defense_c,74.60
pins,resnet18,defense_d,64.70
pins,resnet34,raw,92.60
pins,resnet34,defense_a,87.52
pins,resnet34,defense_b,86.36
pins,resnet34,defense_c,77.70
pins,resnet34,defense_d,69.60
cifar10,resnet18,raw,93.90
cifar10,resnet18,defense_a,85.20
cifar10,resnet18,defense_b,67.40
cifar10,resnet18,defense_c,67.53
cifar10,resnet18,defense_d,58.90
cifar10,resnet34,raw,95.80
cifar10,resnet34,defense_a,94.90
cifar10,resnet34,defense_b,84.80
cifar10,resnet34,defense_c,89.15
cifar10,resnet34,defense_d,88.52
