dataset,backbone,configuration,oriented_auc
pubfig,resnet18,raw,0.7639
pubfig,resnet18,defense_a,0.3314
pubfig,resnet18,defense_b,0.6220
pubfig,resnet18,defense_c,0.2271
pubfig,resnet18,defense_d,0.2505
pubfig,resnet34,raw,0.7568
pubfig,resnet34,defense_a,0.3286
pubfig,resnet34,defense_b,0.2735
pubfig,resnet34,defense_c,0.2166
pubfig,resnet34,defense_d,0.2271
lfw,resnet18,raw,0.7783
lfw,resnet18,defense_a,0.5927
lfw,resnet18,defense_b,0.5664
lfw,resnet18,defense_c,0.6407
lfw,resnet18,defense_d,0.6756
lfw,resnet34,raw,0.7525
lfw,resnet34,defense_a,0.5467
lfw,resnet34,defense_b,0.4609
lfw,resnet34,defense_c,0.5425
lfw,resnet34,defense_d,0.7390
pins,resnet18,raw,0.8248
pins,resnet18,defense_a,0.5142
pins,resnet18,defense_b,0.4904
pins,resnet18,defense_c,0.5082
pins,resnet18,defense_d,0.5422
pins,resnet34,raw,0.7923
pins,resnet34,defense_a,0.3365
pins,resnet34,defense_b,0.4146
pins,resnet34,defense_c,0.4437
pins,resnet34,defense_d,0.4827
cifar10,resnet18,raw,0.5626
cifar10,resnet18,defense_a,0.6808
cifar10,resnet18,defense_b,0.2429
cifar10,resnet18,defense_c,0.3710
cifar10,resnet18,defense_d,0.1438
cifar10,resnet34,raw,0.5607
cifar10,resnet34,defense_a,0.0706
cifar10,resnet34,defense_b,0.3637
cifar10,resnet34,defense_c,0.4449
cifar10,resnet34,defense_d,0.3051
