dataset,backbone,configuration,max_softmax,loss,entropy
pubfig,resnet18,raw,0.7639,0.7639,0.7640
pubfig,resnet18,defense_a,0.3314,0.0949,0.3252
pubfig,resnet34,raw,0.7568,0.7568,0.7570
pubfig,resnet34,defense_a,0.3286,0.1997,0.4976
lfw,resnet18,raw,0.7783,0.7783,0.7794
lfw,resnet18,defense_a,0.5927,0.2778,0.6190
lfw,resnet34,raw,0.7525,0.7525,0.7532
lfw,resnet34,defense_a,0.5467,0.2718,0.5997
pins,resnet18,raw,0.8248,0.8248,0.8239
pins,resnet18,defense_a,0.5142,0.3685,0.6781
pins,resnet34,raw,0.7923,0.7923,0.7917
pins,resnet34,defense_a,0.3365,0.2277,0.4734
cifar10,resnet18,raw,0.5626,0.5642,0.5614
cifar10,resnet18,defense_a,0.6808,0.1009,0.6751
cifar10,resnet34,raw,0.5607,0.5615,0.5608
cifar10,resnet34,defense_a,0.0706,0.0227,0.0647
