dataset,backbone,configuration,number_of_targets,target_success,target_probability,mse,ssim,feature_cosine,rank,top1
pubfig,resnet18,raw,10,1.0,0.9562900960,0.1572442905,0.0084178298,0.4083984464,23.0,0.1
pubfig,resnet18,defense_a,10,1.0,0.0234003203,0.1501616412,0.0090392239,0.3610639215,27.0,0.0
pubfig,resnet18,defense_b,10,1.0,0.9786972642,0.0646280069,0.1580646537,0.4135139704,21.9,0.0
pubfig,resnet18,defense_c,10,1.0,0.9661905587,0.0643827755,0.1503934957,0.3931577146,23.8,0.0
pubfig,resnet18,defense_d,10,1.0,0.9602032542,0.0650654707,0.1511019357,0.3925387204,26.1,0.0
pubfig,resnet34,raw,10,1.0,0.9646560729,0.1598901192,0.0081649008,0.4519218773,22.4,0.1
pubfig,resnet34,defense_a,10,1.0,0.5465694278,0.1519179493,0.0087044695,0.4061373502,29.4,0.1
pubfig,resnet34,defense_b,10,1.0,0.9419779539,0.0651101155,0.1498209789,0.4218697339,23.1,0.0
pubfig,resnet34,defense_c,10,1.0,0.9395348310,0.0647575954,0.1497225180,0.4178113908,23.5,0.0
pubfig,resnet34,defense_d,10,1.0,0.9371322274,0.0640172203,0.1576290548,0.4133871794,25.9,0.1
lfw,resnet18,raw,10,1.0,0.9289743125,0.0216161521,0.2636140123,0.3723704696,30.8,0.0
lfw,resnet18,defense_a,10,1.0,0.9638141692,0.0245511028,0.1794652432,0.3242488116,30.9,0.0
lfw,resnet18,defense_b,10,1.0,0.9574608564,0.0244365307,0.1798119843,0.3584487259,28.7,0.0
lfw,resnet18,defense_c,10,1.0,0.9997033477,0.0238700982,0.1238128975,0.3804614812,26.3,0.0
lfw,resnet18,defense_d,10,1.0,0.9996261954,0.0229960879,0.1310746782,0.3641118169,14.3,0.1
lfw,resnet34,raw,10,1.0,0.9543620765,0.0198601444,0.3299045801,0.3286996037,36.4,0.0
lfw,resnet34,defense_a,10,1.0,0.9356879175,0.0255499158,0.1672522277,0.3325618327,31.0,0.0
lfw,resnet34,defense_b,10,1.0,0.9993429899,0.0246206075,0.1222738340,0.3510906368,19.3,0.1
lfw,resnet34,defense_c,10,1.0,0.9987186909,0.0233570996,0.1488486491,0.3728011757,21.3,0.0
lfw,resnet34,defense_d,10,1.0,0.9980562687,0.0227213282,0.1474050499,0.3626511365,24.0,0.0
pins,resnet18,raw,10,1.0,0.9999919176,0.0619762883,0.1134956196,0.3970464528,53.8,0.0
pins,resnet18,defense_a,10,1.0,0.9999046266,0.0612829778,0.1275742106,0.3906600147,51.6,0.0
pins,resnet18,defense_b,10,1.0,0.9998153687,0.0624808878,0.1095293574,0.4176478356,60.2,0.0
pins,resnet18,defense_c,10,1.0,0.9998694956,0.0883929823,0.1021755371,0.4107277006,65.0,0.0
pins,resnet18,defense_d,10,1.0,0.9999150991,0.0885121889,0.1039958145,0.4161960453,67.4,0.0
pins,resnet34,raw,10,1.0,0.9999924421,0.0619510975,0.1089072846,0.4387319833,53.2,0.0
pins,resnet34,defense_a,10,1.0,0.9998675048,0.0614432372,0.1136897080,0.4078143626,59.5,0.0
pins,resnet34,defense_b,10,1.0,0.9998153687,0.0624808878,0.1095293574,0.4176478356,60.2,0.0
pins,resnet34,defense_c,10,1.0,0.9998330712,0.0888158053,0.0914522655,0.4356317639,64.0,0.0
pins,resnet34,defense_d,10,1.0,0.9998231113,0.0893886641,0.0863427073,0.4187344223,66.1,0.0
cifar10,resnet18,raw,10,1.0,0.9999900937,0.0720876548,0.1209597610,0.4138377726,5.0,0.1
cifar10,resnet18,defense_a,10,1.0,0.9998165786,0.0744144775,0.0662309223,0.4203315020,4.0,0.3
cifar10,resnet18,defense_b,10,1.0,0.9982528865,0.0707558088,0.0799675811,0.3929980606,4.7,0.2
cifar10,resnet18,defense_c,10,1.0,0.9944485664,0.0724679392,0.0700413829,0.4423117429,3.8,0.3
cifar10,resnet18,defense_d,10,1.0,0.9987497807,0.0789893662,0.0335625756,0.4075934201,5.4,0.0
cifar10,resnet34,raw,10,1.0,0.9999954581,0.0727963604,0.1102329526,0.4429620355,4.0,0.4
cifar10,resnet34,defense_a,10,1.0,0.9999331653,0.0731897671,0.1117511205,0.4042432010,4.2,0.0
cifar10,resnet34,defense_b,10,1.0,0.9998175204,0.0778815042,0.0575650464,0.4386427611,4.9,0.1
cifar10,resnet34,defense_c,10,1.0,0.9999354601,0.0754680771,0.0622415075,0.4523472697,4.6,0.2
cifar10,resnet34,defense_d,10,1.0,0.9999091804,0.0830914802,0.0357442074,0.4381672770,5.1,0.3
