dataset,backbone,configuration,nll_before_temperature_scaling,nll_after_temperature_scaling
pubfig,resnet18,raw,0.2148423,0.2118075
pubfig,resnet18,defense_a,0.4997967,0.3204896
pubfig,resnet18,defense_b,0.7273159,0.4802166
pubfig,resnet18,defense_c,1.0291834,0.5853645
pubfig,resnet18,defense_d,1.6463739,0.9964194
pubfig,resnet34,raw,0.1815726,0.1809784
pubfig,resnet34,defense_a,0.4568258,0.3348413
pubfig,resnet34,defense_b,0.5787988,0.4860246
pubfig,resnet34,defense_c,0.8841481,0.6348132
pubfig,resnet34,defense_d,1.5052012,1.2521220
lfw,resnet18,raw,0.0854130,0.0649684
lfw,resnet18,defense_a,0.7031000,0.5224000
lfw,resnet18,defense_b,0.8145000,0.6948000
lfw,resnet18,defense_c,1.4164000,1.2248000
lfw,resnet18,defense_d,1.5546000,1.3409000
lfw,resnet34,raw,0.0588389,0.0711232
lfw,resnet34,defense_a,0.6796266,0.5231892
lfw,resnet34,defense_b,0.7617748,0.7133752
lfw,resnet34,defense_c,1.2423097,1.0711420
lfw,resnet34,defense_d,2.0201955,1.8109155
pins,resnet18,raw,0.4870599,0.4856668
pins,resnet18,defense_a,0.8800000,0.8044000
pins,resnet18,defense_b,0.9191000,0.7964000
pins,resnet18,defense_c,1.1834000,1.0816000
pins,resnet18,defense_d,1.5934000,1.4922000
pins,resnet34,raw,0.2873598,0.2867692
pins,resnet34,defense_a,0.5600759,0.5348135
pins,resnet34,defense_b,0.5955044,0.5814903
pins,resnet34,defense_c,0.9571912,0.8900531
pins,resnet34,defense_d,1.3612796,1.2654583
cifar10,resnet18,raw,0.2278893,0.1913382
cifar10,resnet18,defense_a,0.5066000,0.4565000
cifar10,resnet18,defense_b,0.8745000,0.8680000
cifar10,resnet18,defense_c,0.8492000,0.8374000
cifar10,resnet18,defense_d,1.1461000,1.0888000
cifar10,resnet34,raw,0.1393376,0.1235525
cifar10,resnet34,defense_a,0.1690252,0.1593655
cifar10,resnet34,defense_b,0.4695649,0.4245104
cifar10,resnet34,defense_c,0.3493249,0.3225331
cifar10,resnet34,defense_d,0.3556000,0.3426000
